EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,30.12,30.120000,242.000000,169.112976,14921508010286178949,null,0,1,0
2,12,27.5,27.500000,243.000000,176.187018,8683817217222751575,null,0,1,0
3,18,27.5,27.500000,243.000000,176.187018,1109746989676116089,null,0,1,0
4,24,27.5,27.500000,243.000000,176.187018,18425285283540328501,null,0,1,0
5,30,27.5,27.500000,243.000000,176.187018,16080314484600567712,null,0,1,0
6,37,4.35,4.350000,236.000000,225.725442,2045221141382991416,null,0,1,0
7,42,78.48,78.480000,284.000000,61.125325,17648355577354814956,null,0,1,0
8,48,9.41,9.410000,248.000000,224.658028,10392390143190524088,null,0,1,0
9,54,76.45,76.450000,263.000000,61.934127,13770116375343405968,null,0,1,0
10,61,4.35,4.350000,236.000000,225.725442,17688768045539215019,null,0,1,0
11,67,9.28,9.280000,238.000000,215.915364,15273498181807445162,null,0,1,0
12,73,8.56,8.560000,241.000000,220.371058,8774218735760563753,null,0,1,0
13,79,5.43,5.430000,238.000000,225.065019,6197906647821418528,null,0,1,0
14,85,4.35,4.350000,236.000000,225.725442,10666471106627947181,null,0,1,0
15,92,4.35,4.350000,236.000000,225.725442,5475801925244789900,null,0,1,0
16,98,4.35,4.350000,236.000000,225.725442,432407992805173716,null,0,1,0
17,104,88.29,88.290000,273.000000,31.958443,111237599271905998,null,0,1,0
18,111,4.35,4.350000,236.000000,225.725442,8922813005609054591,null,0,1,0
19,117,14.3,14.300000,241.000000,206.530171,4757994463665999083,null,0,1,0
20,123,13.77,13.770000,240.000000,206.955362,10346973009034893901,null,0,1,0
21,5,54.3,54.300000,249.000000,113.795000,6439873165248256756,null,1,1,0
22,11,54.3,54.300000,249.000000,113.795000,11255561039145532449,null,1,1,0
23,16,78.13,78.130000,259.000000,56.641200,16491404846762771235,null,1,1,0
24,22,68.93,68.930000,274.000000,85.127600,14641529875676470423,null,1,1,0
25,27,54.3,54.300000,249.000000,113.795000,11163219150738261790,null,1,1,0
26,33,39.12,39.120000,253.000000,154.032000,2882679706520234668,null,1,1,0
27,38,49.95,49.950000,250.000000,125.122000,8143321566228951748,null,1,1,0
28,44,39.12,39.120000,253.000000,154.032000,1121735774884050560,null,1,1,0
29,50,39.12,39.120000,253.000000,154.032000,18260118458416668254,null,1,1,0
30,56,76.45,76.450000,263.000000,61.934100,11737689361613046748,null,1,1,0
31,62,77.67,77.670000,260.000000,58.061000,9313430829460010827,null,1,1,0
32,68,39.12,39.120000,253.000000,154.032000,3443938727658215472,null,1,1,0
33,74,39.12,39.120000,253.000000,154.032000,17084337105017907721,null,1,1,0
34,80,39.12,39.120000,253.000000,154.032000,11969348094610680846,null,1,1,0
35,85,60.88,60.880000,259.000000,101.312000,11021638307997383979,null,1,1,0
36,91,39.12,39.120000,253.000000,154.032000,2837110466211635966,null,1,1,0
37,97,39.12,39.120000,253.000000,154.032000,12812889879038055937,null,1,1,0
38,104,40.23,40.230000,246.000000,147.035000,5934070515384621107,null,1,1,0
39,110,49.95,49.950000,250.000000,125.122000,9973381924279864491,null,1,1,0
40,116,39.12,39.120000,253.000000,154.032000,286340556703861670,null,1,1,0
41,6,76.45,76.450000,263.000000,61.934100,11502841505915629043,null,2,1,0
42,12,76.45,76.450000,263.000000,61.934100,9540605019386224781,null,2,1,0
43,18,54.24,54.240000,269.000000,123.083000,506689512661984095,null,2,1,0
44,24,56.74,56.740000,254.000000,109.881000,1571676267685186882,null,2,1,0
45,40,8.9,8.900000,241.000000,219.556000,1365502774332114634,null,2,1,0
46,47,8.9,8.900000,241.000000,219.556000,6411214482036915483,null,2,1,0
47,53,8.9,8.900000,241.000000,219.556000,16293991550409476076,null,2,1,0
48,58,85.6,85.600000,284.000000,40.889600,14356814843499574302,null,2,1,0
49,65,8.9,8.900000,241.000000,219.556000,2863493010197182891,null,2,1,0
50,71,10.64,10.640000,244.000000,218.045000,5843516366878759604,null,2,1,0
51,77,10.85,10.850000,244.000000,217.536000,14541776225176315352,null,2,1,0
52,83,12.74,12.740000,244.000000,212.910000,8425762601984450764,null,2,1,0
53,89,8.9,8.900000,241.000000,219.556000,12249838658184269363,null,2,1,0
54,95,8.9,8.900000,241.000000,219.556000,5100820123221105916,null,2,1,0
55,102,8.9,8.900000,241.000000,219.556000,11380041220292187857,null,2,1,0
56,108,8.9,8.900000,241.000000,219.556000,17117754091712901128,null,2,1,0
57,114,12.74,12.740000,244.000000,212.910000,4723810937079056321,null,2,1,0
58,121,8.9,8.900000,241.000000,219.556000,6918370330469125501,null,2,1,0
59,127,14.05,14.050000,238.000000,204.566000,4900260565368032666,null,2,1,0
