EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,8,5.49,5.490000,11857.371258,11205.838134,14921508010286178949,null,0,1,0
2,16,4.64,4.640000,11801.185729,11253.022012,18073175359058532266,null,0,1,0
3,24,4.64,4.640000,11801.185729,11253.464526,6271863391775334775,null,0,1,0
4,33,4.54,4.540000,11801.185729,11264.922377,2097133881697308039,null,0,1,0
5,41,9.58,9.580000,11801.185729,10671.139960,3807892630079812487,null,0,1,0
6,49,5.22,5.220000,11801.185729,11184.774988,1927909511601099055,null,0,1,0
7,57,4.54,4.540000,11801.185729,11264.922377,4081210563701822570,null,0,1,0
8,66,4.44,4.440000,11801.185729,11276.875490,12517557345200977085,null,0,1,0
9,74,4.4,4.400000,11801.185729,11282.342785,15935420249721250655,null,0,1,0
10,83,4.54,4.540000,11801.185729,11265.526062,411923096755496744,null,0,1,0
11,91,4.4,4.400000,11801.185729,11282.342785,10813808419979401711,null,0,1,0
12,100,4.37,4.370000,11801.185729,11284.955061,192496456045426189,null,0,1,0
13,108,4.37,4.370000,11801.185729,11284.955061,1977997695329223761,null,0,1,0
14,117,4.37,4.370000,11801.185729,11284.955061,10469896770450126117,null,0,1,0
15,125,4.48,4.480000,11801.185729,11272.155629,11228698974291701218,null,0,1,0
16,134,4.58,4.580000,11801.185729,11260.759165,14117253490977513340,null,0,1,0
17,141,10.1,10.100000,11857.371258,10660.367226,5288778101350175295,null,0,1,0
18,150,4.34,4.340000,11801.185729,11288.710108,11076929476634752617,null,0,1,0
19,158,4.34,4.340000,11801.185729,11288.710108,11640381349649260197,null,0,1,0
20,167,4.34,4.340000,11801.185729,11288.710108,17891790044842659253,null,0,1,0
21,8,5.67,5.670000,11801.200000,11132.000000,10181412967155842157,null,1,1,0
22,16,5.67,5.670000,11801.200000,11132.000000,15701238402689927417,null,1,1,0
23,23,6.24,6.240000,11801.200000,11065.200000,14379120582521013325,null,1,1,0
24,31,4.86,4.860000,11801.200000,11227.700000,15400170541153074414,null,1,1,0
25,39,4.86,4.860000,11801.200000,11227.700000,1501458353776209220,null,1,1,0
26,46,4.84,4.840000,11801.200000,11230.300000,2490162512675066616,null,1,1,0
27,53,4.29,4.290000,11857.400000,11348.800000,13630966564327684022,null,1,1,0
28,60,3.85,3.850000,11801.200000,11346.600000,1095927121864308906,null,1,1,0
29,69,3.19,3.190000,11801.200000,11425.200000,14016677095095685551,null,1,1,0
30,77,3.35,3.350000,11801.200000,11405.400000,13167085250122747924,null,1,1,0
