EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.350305,Normal,26.71,26.710000,1106.654996,811.108951,14921508010286178949,null,0,1,0
2,20,10.029591,Normal,32.56,32.560000,1192.873821,804.465132,10101538263502436884,null,0,1,0
3,31,10.290060,Normal,26.71,26.710000,1106.654996,811.108951,10346973009034893901,null,0,1,0
4,41,10.263416,Normal,26.71,26.710000,1106.654996,811.108951,635589708496059671,null,0,1,0
5,51,10.095942,Normal,50.12,50.120000,1619.199669,807.723690,5948685825087948624,null,0,1,0
6,62,10.263914,Normal,26.71,26.710000,1106.654996,811.108951,6762843893550650360,null,0,1,0
7,72,10.262167,Normal,26.71,26.710000,1106.654996,811.108951,13290681019215308220,null,0,1,0
8,83,10.232929,Normal,26.71,26.710000,1106.654996,811.108951,844706301316953147,null,0,1,0
9,93,10.246009,Normal,26.71,26.710000,1106.654996,811.108951,2225858521084382651,null,0,1,0
10,110,16.373307,WatchdogAbortRequested,66.81,66.810000,2420.506503,803.373888,281880667954374288,null,0,1,0
11,120,10.247836,Normal,26.71,26.710000,1106.654996,811.108951,16450644818478286277,null,0,1,0
12,130,10.274432,Normal,26.71,26.710000,1106.654996,811.108951,13964071529318666704,null,0,1,0
13,141,10.108973,Normal,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
14,151,10.259031,Normal,26.71,26.710000,1106.654996,811.108951,5643427149002281568,null,0,1,0
15,162,10.273296,Normal,26.71,26.710000,1106.654996,811.108951,13575339350133640537,null,0,1,0
16,172,10.019080,Normal,100,100.000000,2420.506503,0.000000,12351453347240979420,null,0,1,0
17,209,36.635529,WatchdogAbortRequested,66.81,66.810000,2420.506503,803.373888,18392939659909934726,null,0,1,0
18,219,10.261938,Normal,26.71,26.710000,1106.654996,811.108951,5988662020493846908,null,0,1,0
19,229,10.221146,Normal,26.71,26.710000,1106.654996,811.108951,8683817217222751575,null,0,1,0
20,240,10.199081,Normal,26.71,26.710000,1106.654996,811.108951,5834950261831871145,null,0,1,0
21,10,10.040500,Normal,66.62,66.620000,2406.650000,803.374000,9686720361045965965,null,1,1,0
22,20,10.040700,Normal,66.62,66.620000,2406.650000,803.374000,14977320980139403669,null,1,1,0
23,30,10.059600,Normal,66.62,66.620000,2406.650000,803.374000,1871591627137445803,null,1,1,0
24,40,10.040700,Normal,66.62,66.620000,2406.650000,803.374000,7129054616402336492,null,1,1,0
25,51,10.040300,Normal,66.62,66.620000,2406.650000,803.374000,5422601811110845924,null,1,1,0
26,61,10.040700,Normal,66.62,66.620000,2406.650000,803.374000,8357886499274428898,null,1,1,0
27,71,10.040700,Normal,66.62,66.620000,2406.650000,803.374000,18059988575458826254,null,1,1,0
28,81,10.040000,Normal,66.62,66.620000,2406.650000,803.374000,12514955137408797677,null,1,1,0
29,91,10.040300,Normal,66.62,66.620000,2406.650000,803.374000,3878726579294074935,null,1,1,0
30,102,10.041700,Normal,66.62,66.620000,2406.650000,803.374000,13814313172103390742,null,1,1,0
31,112,10.040000,Normal,66.62,66.620000,2406.650000,803.374000,925281374657082787,null,1,1,0
32,122,10.337500,Normal,32.52,32.520000,1192.870000,804.961000,16655313693168279273,null,1,1,0
33,133,10.322900,Normal,32.52,32.520000,1192.870000,804.961000,18239881928142329749,null,1,1,0
34,143,10.051700,Normal,66.81,66.810000,2420.510000,803.374000,13325998968531994933,null,1,1,0
