EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.006009,94.88,94.880000,527.000000,27.000000,14921508010286178949,null,0,1,0
2,10,5.004384,94.69,94.690000,527.000000,28.000000,5643427149002281568,null,0,1,0
3,15,5.003782,94.69,94.690000,527.000000,28.000000,271321391208788895,null,0,1,0
4,20,5.004384,94.69,94.690000,527.000000,28.000000,6709727013648302845,null,0,1,0
5,25,5.004360,94.69,94.690000,527.000000,28.000000,12477530550632405707,null,0,1,0
6,30,5.004589,94.78,94.780000,527.000000,27.500000,1306624368982852578,null,0,1,0
7,35,5.005148,88.04,88.040000,230.000000,27.500000,16449025980178702649,null,0,1,0
8,40,5.003016,94.88,94.880000,527.000000,27.000000,12911295086759950527,null,0,1,0
9,45,5.004193,88.04,88.040000,230.000000,27.500000,16832464135030190944,null,0,1,0
10,50,5.004686,88.04,88.040000,230.000000,27.500000,1152501140341691617,null,0,1,0
11,55,5.004842,88.04,88.040000,230.000000,27.500000,3149268700206295337,null,0,1,0
12,60,5.004993,88.04,88.040000,230.000000,27.500000,2048811407612508839,null,0,1,0
13,65,5.005805,88.04,88.040000,230.000000,27.500000,13349432538688986171,null,0,1,0
14,70,5.003458,88.26,88.260000,230.000000,27.000000,16792845484493382003,null,0,1,0
15,75,5.003878,94.88,94.880000,527.000000,27.000000,13736173804015590638,null,0,1,0
16,80,5.017072,88.25,88.250000,230.000000,27.030000,18407422710834074937,null,0,1,0
17,85,5.005486,88.04,88.040000,230.000000,27.500000,5401555738643040002,null,0,1,0
18,90,5.012474,94.87,94.870000,527.000000,27.020667,7901764443252976526,null,0,1,0
19,95,5.003375,94.88,94.880000,527.000000,27.000000,4167939644347090976,null,0,1,0
20,100,5.004518,85.33,85.330000,230.000000,33.750000,17082000987264975141,null,0,1,0
21,5,5.004360,88.26,88.260000,230.000000,27.000000,17514050945686148453,null,1,1,0
22,10,5.003910,88.26,88.260000,230.000000,27.000000,14945327202240187335,null,1,1,0
23,15,5.003410,88.56,88.560000,236.000000,27.000000,5618135918108975868,null,1,1,0
24,20,5.003240,88.56,88.560000,236.000000,27.000000,14451080528597731927,null,1,1,0
25,25,5.006170,88.26,88.260000,230.000000,27.000000,14848801465634500120,null,1,1,0
26,30,5.004910,88.26,88.260000,230.000000,27.000000,5751493537778056445,null,1,1,0
27,35,5.002880,88.26,88.260000,230.000000,27.000000,3285289725500150287,null,1,1,0
28,40,5.004670,88.26,88.260000,230.000000,27.000000,2978541634261456060,null,1,1,0
29,45,5.003550,88.26,88.260000,230.000000,27.000000,3333717581537672010,null,1,1,0
30,50,5.004160,88.26,88.260000,230.000000,27.000000,8725071177841226662,null,1,1,0
31,55,5.003560,88.26,88.260000,230.000000,27.000000,14748301322663243038,null,1,1,0
