EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,35.48,35.480000,1550013250.000006,1000005975.192370,14921508010286178949,null,0,1,0
2,14,40,40.000000,1666681766.666667,1000006924.255799,10101538263502436884,null,0,1,0
3,22,41.7,41.700000,1400013669.895724,816150853.375338,10346973009034893901,null,0,1,0
4,29,35.48,35.480000,1550013250.000006,1000005975.192370,635589708496059671,null,0,1,0
5,37,42.56,42.560000,1400013669.895724,804122986.527466,5948685825087948624,null,0,1,0
6,44,35.48,35.480000,1550013250.000006,1000005975.192370,6762843893550650360,null,0,1,0
7,52,35.48,35.480000,1550013250.000006,1000005975.192370,13290681019215308220,null,0,1,0
8,59,37.24,37.240000,1593348520.000000,1000005408.814082,844706301316953147,null,0,1,0
9,67,35.48,35.480000,1550013250.000006,1000005975.192370,2225858521084382651,null,0,1,0
10,74,37.5,37.500000,1600014050.000000,1000005955.396158,281880667954374288,null,0,1,0
11,82,35.48,35.480000,1550013250.000006,1000005975.192370,16450644818478286277,null,0,1,0
12,89,31.26,31.260000,1600015500.000000,1099913493.675467,13964071529318666704,null,0,1,0
13,97,36.51,36.510000,1575014125.000000,1000005406.750883,17536868354183841345,null,0,1,0
14,104,39.51,39.510000,1600015800.000000,967778053.832095,6867544390943514717,null,0,1,0
15,112,35.48,35.480000,1550013250.000006,1000005975.192370,12906707549143192948,null,0,1,0
16,119,38.64,38.640000,1629644648.148147,1000001503.192212,16846980303015349341,null,0,1,0
17,126,40,40.000000,1500012650.000000,900001652.543907,6962149414314999923,null,0,1,0
18,134,48.43,48.430000,1600013233.333333,825109657.549739,5643427149002281568,null,0,1,0
19,141,31.26,31.260000,1600015500.000000,1099913493.675467,9825552984101027853,null,0,1,0
20,149,37.5,37.500000,1600013433.333333,999960782.314872,9909566279397476452,null,0,1,0
21,8,20.9,20.900000,1475010000.000000,1166670000.000000,9686720361045965965,null,1,1,0
22,16,20.9,20.900000,1475010000.000000,1166670000.000000,14977320980139403669,null,1,1,0
23,24,22.03,22.030000,1475010000.000000,1150010000.000000,1871591627137445803,null,1,1,0
24,32,17.86,17.860000,1400010000.000000,1150010000.000000,7129054616402336492,null,1,1,0
25,39,31.51,31.510000,1460010000.000000,1000010000.000000,13062471542285784853,null,1,1,0
26,46,39.15,39.150000,1500010000.000000,912734000.000000,18277935937152207419,null,1,1,0
27,54,46.06,46.060000,1633350000.000000,880975000.000000,3467140898898351138,null,1,1,0
28,62,24.66,24.660000,1460010000.000000,1100010000.000000,8300584405502386921,null,1,1,0
29,70,30.52,30.520000,1400010000.000000,972734000.000000,4998963833807186303,null,1,1,0
30,78,17.86,17.860000,1400010000.000000,1150010000.000000,1243069990615668537,null,1,1,0
31,85,17.86,17.860000,1400010000.000000,1150010000.000000,6900896254888489057,null,1,1,0
32,93,17.86,17.860000,1400010000.000000,1150010000.000000,14411976918203191725,null,1,1,0
33,101,17.86,17.860000,1400010000.000000,1150010000.000000,12100527156627428012,null,1,1,0
34,109,25.42,25.420000,1475010000.000000,1100010000.000000,295445767093693839,null,1,1,0
35,116,25.42,25.420000,1475010000.000000,1100010000.000000,7762149114219215756,null,1,1,0
36,125,25.42,25.420000,1475010000.000000,1100010000.000000,18382917855894976354,null,1,1,0
37,133,25.42,25.420000,1475010000.000000,1100010000.000000,8725917387939387399,null,1,1,0
38,140,50,50.000000,1600010000.000000,800007000.000000,18239881928142329749,null,1,1,0
39,148,47.09,47.090000,1600010000.000000,846558000.000000,7610894835514180844,null,1,1,0
40,156,25.42,25.420000,1475010000.000000,1100010000.000000,7192739194629531329,null,1,1,0
41,8,42.86,42.860000,1400010000.000000,800006000.000000,17808874148426417796,null,2,1,0
