EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.009614,Normal,3.7,3.700000,49.000000,47.186667,14921508010286178949,null,0,1,0
2,10,10.032600,Normal,0,0.000000,48.000000,48.000000,8723278136865304665,null,1,1,0
3,10,10.023500,Normal,3.7,3.700000,49.000000,47.186700,15446065792237984030,null,2,1,0
4,7,7.686100,Normal,0,0.000000,48.000000,48.000000,14075347302301588864,null,3,1,0
5,10,10.015400,Normal,5.63,5.630000,50.000000,47.186700,3607391237478288220,null,4,1,0
6,10,10.016100,Normal,3.7,3.700000,49.000000,47.186700,6128791737735043497,null,5,1,0
7,10,10.008300,Normal,5.63,5.630000,50.000000,47.186700,14016033152779600300,null,6,1,0
8,10,10.007800,Normal,5.63,5.630000,50.000000,47.186700,17459231772484832906,null,7,1,0
9,10,10.012500,Normal,0,0.000000,48.000000,48.000000,14787309470191083595,null,8,1,0
10,10,10.009400,Normal,3.7,3.700000,49.000000,47.186700,41740214594011589,null,9,1,0
11,10,10.012400,Normal,5.63,5.630000,50.000000,47.186700,14083365601823689507,null,10,1,0
12,10,10.018900,Normal,0,0.000000,48.000000,48.000000,13735962452484424727,null,11,1,0
13,10,10.025500,Normal,0,0.000000,48.000000,48.000000,2776033069294714548,null,12,1,0
14,9,9.704130,Normal,0,0.000000,48.000000,48.000000,17770079838099398960,null,13,1,0
15,10,10.030800,Normal,0,0.000000,48.000000,48.000000,359675858134083956,null,14,1,0
16,10,10.006400,Normal,5.63,5.630000,50.000000,47.186700,9405647989513722186,null,15,1,0
