EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.020009,Normal,126966,126966.270000,-33.200000,-42186.000000,14921508010286178949,null,0,1,0
2,10,5.025700,Normal,126966,126966.270000,-33.200000,-42186.000000,5643427149002281568,null,0,1,0
3,15,5.011518,Normal,126966,126966.270000,-33.200000,-42186.000000,2823934824078185206,null,0,1,0
4,21,5.008076,Normal,126966,126966.270000,-33.200000,-42186.000000,12911295086759950527,null,0,1,0
5,26,5.010744,Normal,126966,126966.270000,-33.200000,-42186.000000,15495703117619861868,null,0,1,0
6,31,5.019546,Normal,126966,126966.270000,-33.200000,-42186.000000,13964071529318666704,null,0,1,0
7,37,5.012925,Normal,126966,126966.270000,-33.200000,-42186.000000,635589708496059671,null,0,1,0
8,42,5.009991,Normal,126966,126966.270000,-33.200000,-42186.000000,16450644818478286277,null,0,1,0
9,47,5.286033,Normal,126966,126966.270000,-33.200000,-42186.000000,2077675631147850639,null,0,1,0
10,53,5.010279,Normal,126966,126966.270000,-33.200000,-42186.000000,2225858521084382651,null,0,1,0
11,58,5.020810,Normal,126966,126966.270000,-33.200000,-42186.000000,3895283216737288575,null,0,1,0
12,63,5.019587,Normal,126966,126966.270000,-33.200000,-42186.000000,16957666276679199244,null,0,1,0
13,69,5.264768,Normal,126966,126966.270000,-33.200000,-42186.000000,6762843893550650360,null,0,1,0
14,74,5.010586,Normal,126966,126966.270000,-33.200000,-42186.000000,844706301316953147,null,0,1,0
15,79,5.008475,Normal,126966,126966.270000,-33.200000,-42186.000000,10905844833752053842,null,0,1,0
16,84,5.014833,Normal,126966,126966.270000,-33.200000,-42186.000000,10346973009034893901,null,0,1,0
17,90,5.008458,Normal,126966,126966.270000,-33.200000,-42186.000000,5948685825087948624,null,0,1,0
18,95,5.015433,Normal,126966,126966.270000,-33.200000,-42186.000000,18060637416333092177,null,0,1,0
19,101,5.278181,Normal,126966,126966.270000,-33.200000,-42186.000000,864434800366833410,null,0,1,0
20,106,5.011045,Normal,126966,126966.270000,-33.200000,-42186.000000,10475899001479897097,null,0,1,0
21,5,5.055550,Normal,23.34,23.340000,-33.200000,-40.950000,17514050945686148453,null,1,1,0
22,10,5.045960,Normal,23.34,23.340000,-33.200000,-40.950000,14945327202240187335,null,1,1,0
23,16,5.052100,Normal,23.34,23.340000,-33.200000,-40.950000,5618135918108975868,null,1,1,0
24,21,5.056150,Normal,23.34,23.340000,-33.200000,-40.950000,14451080528597731927,null,1,1,0
25,26,5.045980,Normal,23.34,23.340000,-33.200000,-40.950000,14848801465634500120,null,1,1,0
