EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.014367,Normal,5.63,5.630000,50.000000,47.186667,14921508010286178949,null,0,1,0
2,5,5.008500,Normal,3.7,3.700000,49.000000,47.186700,8723278136865304665,null,1,1,0
3,5,5.017960,Normal,3.7,3.700000,49.000000,47.186700,15446065792237984030,null,2,1,0
4,5,5.012830,Normal,5.63,5.630000,50.000000,47.186700,14075347302301588864,null,3,1,0
5,5,5.011440,Normal,5.63,5.630000,50.000000,47.186700,3607391237478288220,null,4,1,0
6,10,5.006470,Normal,5.63,5.630000,50.000000,47.186700,17425034657188371328,null,4,1,0
7,5,5.010340,Normal,3.7,3.700000,49.000000,47.186700,6128791737735043497,null,5,1,0
8,5,5.009900,Normal,5.63,5.630000,50.000000,47.186700,14016033152779600300,null,6,1,0
9,10,5.009160,Normal,5.63,5.630000,50.000000,47.186700,8902295658440993141,null,6,1,0
10,5,5.014830,Normal,5.63,5.630000,50.000000,47.186700,17459231772484832906,null,7,1,0
11,5,5.014850,Normal,5.63,5.630000,50.000000,47.186700,14787309470191083595,null,8,1,0
12,5,5.011860,Normal,3.7,3.700000,49.000000,47.186700,41740214594011589,null,9,1,0
13,5,5.011650,Normal,5.63,5.630000,50.000000,47.186700,14083365601823689507,null,10,1,0
14,5,5.012270,Normal,0,0.000000,48.000000,48.000000,13735962452484424727,null,11,1,0
15,5,5.013790,Normal,5.63,5.630000,50.000000,47.186700,2776033069294714548,null,12,1,0
16,5,5.007660,Normal,3.7,3.700000,49.000000,47.186700,17770079838099398960,null,13,1,0
17,5,5.008070,Normal,3.7,3.700000,49.000000,47.186700,359675858134083956,null,14,1,0
18,5,5.012490,Normal,5.63,5.630000,50.000000,47.186700,9405647989513722186,null,15,1,0
