EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.006324,68.75,68.750000,308144.054812,96310.267929,14921508010286178949,null,0,1,0
2,10,5.007746,68.75,68.750000,308144.054602,96310.267929,2823934824078185206,null,0,1,0
3,15,5.010434,68.75,68.750000,308137.786978,96287.602231,844706301316953147,null,0,1,0
4,20,5.005519,68.75,68.750000,308144.054812,96310.267929,13575339350133640537,null,0,1,0
5,25,5.005717,68.08,68.080000,301743.487560,96319.254733,10926055034921966546,null,0,1,0
6,30,5.005315,76.27,76.270000,333809.066611,79213.034497,16740374584774211926,null,0,1,0
7,35,5.008110,66.67,66.670000,288915.753695,96293.076012,11229182350521227177,null,0,1,0
8,40,5.008504,69.39,69.390000,314542.701819,96293.076012,14809677272999796110,null,0,1,0
9,45,5.007335,66.67,66.670000,288915.753695,96293.076012,9274112734422232258,null,0,1,0
10,50,5.006906,57.14,57.140000,224666.805048,96297.930449,13425842319572370773,null,0,1,0
11,55,5.008529,48.28,48.280000,186211.819185,96309.110855,5720939262798603504,null,0,1,0
12,60,5.007561,69.39,69.390000,314505.549327,96278.177373,8275013865652881846,null,0,1,0
13,66,5.007845,70,70.000000,320985.264729,96309.092784,3154846772185633149,null,0,1,0
14,71,5.007335,69.39,69.390000,314505.549327,96278.177373,4517982889657017095,null,0,1,0
15,76,5.008500,48.28,48.280000,186211.819185,96309.110855,6345595131234220663,null,0,1,0
16,81,5.009550,48.28,48.280000,186211.819185,96309.110855,5971489691900887579,null,0,1,0
17,86,5.009068,70,70.000000,320985.264729,96309.092784,13841209749578890715,null,0,1,0
18,91,5.010391,48.28,48.280000,186211.819185,96309.110855,3218439977197524695,null,0,1,0
19,96,5.007223,70.89,70.890000,314570.597156,91575.507525,14233769262875148852,null,0,1,0
20,101,5.009086,48.28,48.280000,186211.819185,96309.110855,9982328073365109915,null,0,1,0
21,5,5.006810,69.39,69.390000,314544.000000,96290.900000,4742023368992659407,null,1,1,0
22,10,5.007710,34.82,34.820000,147710.000000,96281.400000,6256578975208963304,null,1,1,0
23,15,5.010350,34.82,34.820000,147710.000000,96281.400000,12336834199684603571,null,1,1,0
24,20,5.010020,34.82,34.820000,147710.000000,96281.400000,17426624414624633759,null,1,1,0
25,25,5.007380,76.27,76.270000,333809.000000,79213.000000,9521923097997584123,null,1,1,0
26,30,5.006980,42.31,42.310000,166887.000000,96274.600000,9152426245010523181,null,1,1,0
27,35,5.008970,70.59,70.590000,327382.000000,96285.400000,14887820698398008522,null,1,1,0
28,40,5.037920,70.01,70.010000,320964.000000,96269.900000,10819472677658251333,null,1,1,0
29,45,5.007690,70,70.000000,320949.000000,96282.500000,5925360256658316714,null,1,1,0
30,50,5.007100,21.08,21.080000,122001.000000,96283.900000,3444192465691585929,null,1,1,0
31,55,5.007300,21.07,21.070000,122001.000000,96293.300000,17936698409616148714,null,1,1,0
32,60,5.008580,37.51,37.510000,154073.000000,96274.600000,13139625273915990972,null,1,1,0
33,65,5.004960,21.07,21.070000,122001.000000,96293.200000,16644982563651331436,null,1,1,0
34,70,5.007790,21.07,21.070000,122001.000000,96296.900000,16048324242027281114,null,1,1,0
35,76,5.006410,16.73,16.730000,115597.000000,96262.300000,17136039322288558584,null,1,1,0
36,81,5.008790,68.76,68.760000,308147.000000,96271.600000,18235329861108409430,null,1,1,0
37,86,5.005860,68.08,68.080000,301715.000000,96303.800000,8206345197872347311,null,1,1,0
38,91,5.007310,70.97,70.970000,320985.000000,93190.700000,17174906495705248987,null,1,1,0
39,96,5.008020,21.07,21.070000,122001.000000,96293.300000,3977498000842779273,null,1,1,0
40,101,5.006160,11.84,11.840000,109197.000000,96262.600000,3906669691107298845,null,1,1,0
41,5,5.007280,70,70.000000,320985.000000,96280.900000,13833839775346593887,null,2,1,0
42,10,5.006400,70,70.000000,320985.000000,96280.900000,17419014958330931154,null,2,1,0
43,15,5.007000,70,70.000000,320985.000000,96280.900000,9597628650034279527,null,2,1,0
44,20,5.007110,70,70.000000,320985.000000,96280.900000,12119940639370611530,null,2,1,0
45,25,5.012790,70,70.000000,320985.000000,96280.900000,12048365323513552973,null,2,1,0
46,30,5.007500,70,70.000000,320985.000000,96282.900000,12063271185902931510,null,2,1,0
47,35,5.008430,70.01,70.010000,320985.000000,96274.300000,8542376615335877757,null,2,1,0
48,40,5.009580,44.47,44.470000,173364.000000,96263.500000,3236082361392310635,null,2,1,0
49,45,5.009050,44.47,44.470000,173364.000000,96263.500000,9724821648268136864,null,2,1,0
50,50,5.008270,66.67,66.670000,288910.000000,96281.400000,14759017026047729640,null,2,1,0
51,55,5.007130,72.15,72.150000,320982.000000,89387.400000,2386013355439773593,null,2,1,0
52,60,5.010470,68.69,68.690000,301736.000000,94469.000000,9115552634424846552,null,2,1,0
53,65,5.009860,44.47,44.470000,173364.000000,96263.500000,14151144509518479360,null,2,1,0
54,70,5.011740,70,70.000000,320985.000000,96300.200000,13324103528285718002,null,2,1,0
55,75,5.010230,44.47,44.470000,173364.000000,96263.500000,7171254133922976537,null,2,1,0
56,81,5.006650,76.27,76.270000,333809.000000,79213.000000,3050254520254077217,null,2,1,0
57,86,5.008850,51.62,51.620000,198985.000000,96263.500000,12197740284990532739,null,2,1,0
58,91,5.005770,70.59,70.590000,327337.000000,96268.600000,17845600470748157490,null,2,1,0
59,96,5.009440,21.09,21.090000,122049.000000,96309.000000,6417554620755966947,null,2,1,0
60,101,5.008370,67.38,67.380000,295307.000000,96337.400000,7807941603982579398,null,2,1,0
61,5,5.008260,76.27,76.270000,333809.000000,79213.000000,7691846394389702564,null,3,1,0
62,10,5.008160,76.27,76.270000,333809.000000,79213.000000,2013473791230577213,null,3,1,0
63,15,5.008250,76.27,76.270000,333809.000000,79213.000000,11266682804268049439,null,3,1,0
64,20,5.009290,67.39,67.390000,295302.000000,96288.100000,2748598918444556601,null,3,1,0
65,25,5.018030,67.39,67.390000,295302.000000,96288.100000,2654854295276811030,null,3,1,0
66,30,5.007180,68.08,68.080000,301724.000000,96307.800000,9166194902976789210,null,3,1,0
67,35,5.007240,68.75,68.750000,308156.000000,96292.200000,16597831966251193276,null,3,1,0
68,40,5.018800,67.39,67.390000,295302.000000,96288.100000,18375862575411634684,null,3,1,0
69,45,5.006310,66.67,66.670000,288918.000000,96288.100000,17838717301910705084,null,3,1,0
70,50,5.006030,68.09,68.090000,301743.000000,96290.400000,4567294546477161554,null,3,1,0
71,55,5.006260,66.67,66.670000,288918.000000,96288.100000,4945321402471362712,null,3,1,0
72,60,5.005960,66.67,66.670000,288918.000000,96288.100000,2436344162482288648,null,3,1,0
73,65,5.013640,66.67,66.670000,288918.000000,96288.100000,16316272729207708856,null,3,1,0
74,70,5.007330,70,70.000000,320965.000000,96276.900000,8264741632572819614,null,3,1,0
75,75,5.006830,68.07,68.070000,301704.000000,96341.800000,17977951971343782098,null,3,1,0
76,81,5.012510,67.39,67.390000,295308.000000,96290.600000,11501779793286510526,null,3,1,0
77,86,5.006390,21.05,21.050000,122001.000000,96318.100000,9661951345462320985,null,3,1,0
78,91,5.009790,48.3,48.300000,186224.000000,96269.900000,15438388139652580281,null,3,1,0
79,96,5.009130,68.76,68.760000,308128.000000,96269.000000,295692840554817184,null,3,1,0
80,101,5.004420,76.27,76.270000,333809.000000,79213.000000,15540932992057463620,null,3,1,0
81,5,5.012880,68.08,68.080000,301724.000000,96310.700000,4646249020595888442,null,4,1,0
82,10,5.008070,70,70.000000,320969.000000,96280.900000,4598238589271301244,null,4,1,0
83,15,5.007330,68.08,68.080000,301724.000000,96310.700000,929287535712065411,null,4,1,0
84,20,5.006370,68.75,68.750000,308156.000000,96292.200000,9014085691120480209,null,4,1,0
85,25,5.013450,68.08,68.080000,301724.000000,96310.700000,3180000696655539831,null,4,1,0
86,30,5.007260,68.74,68.740000,308141.000000,96314.400000,2018204586815896198,null,4,1,0
87,35,5.006350,68.08,68.080000,301724.000000,96310.700000,4324730707953733864,null,4,1,0
88,40,5.009900,69.38,69.380000,314545.000000,96310.700000,1039146152008480656,null,4,1,0
89,45,5.008920,68.08,68.080000,301724.000000,96310.700000,17659067838198581863,null,4,1,0
90,50,5.009530,68.08,68.080000,301724.000000,96310.700000,5133243324169150630,null,4,1,0
91,55,5.015380,68.08,68.080000,301695.000000,96305.000000,7113679040232451951,null,4,1,0
92,60,5.009030,37.54,37.540000,154116.000000,96264.000000,17403405648429913974,null,4,1,0
