EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,28.57,28.570000,-315.000000,-405.000000,14921508010286178949,null,0,1,0
2,22,20.9,20.900000,-335.000000,-405.000000,2823934824078185206,null,0,1,0
3,29,26.56,26.560000,-320.000000,-405.000000,8211792182747950806,null,0,1,0
4,35,61.63,61.630000,-270.000000,-436.393928,7996245778148271637,null,0,1,0
5,42,20.9,20.900000,-335.000000,-405.000000,13816062404021032092,null,0,1,0
6,49,20.9,20.900000,-335.000000,-405.000000,9002657734057019648,null,0,1,0
7,55,24.62,24.620000,-325.000000,-405.000000,4224704790384270877,null,0,1,0
8,62,35,35.000000,-300.000000,-405.000000,3393904700578472690,null,0,1,0
9,69,20.9,20.900000,-335.000000,-405.000000,17389999200280525169,null,0,1,0
10,75,28.57,28.570000,-315.000000,-405.000000,2814756197111476349,null,0,1,0
11,82,20.9,20.900000,-335.000000,-405.000000,7475797912735248108,null,0,1,0
12,88,18.18,18.180000,-330.000000,-390.000000,5891509694437369548,null,0,1,0
13,95,18.18,18.180000,-330.000000,-390.000000,14623814834575614756,null,0,1,0
14,102,19.12,19.120000,-340.000000,-405.000000,17618853623699545067,null,0,1,0
15,110,16.18,16.180000,-340.000000,-395.000000,8542899556648158530,null,0,1,0
16,117,28.57,28.570000,-315.000000,-405.000000,13841209749578890715,null,0,1,0
17,124,5.8,5.800000,-345.000000,-365.000000,8683817217222751575,null,0,1,0
18,130,37.29,37.290000,-295.000000,-405.000000,1306624368982852578,null,0,1,0
19,137,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,17070811993242100067,null,0,1,0
20,144,23.44,23.440000,-320.000000,-395.000000,10977172961598630331,null,0,1,0
21,7,38.33,38.330000,-300.000000,-415.000000,4742023368992659407,null,1,1,0
22,16,19.06,19.060000,-340.000000,-404.789000,6256578975208963304,null,1,1,0
23,23,17.39,17.390000,-345.000000,-405.000000,12336834199684603571,null,1,1,0
24,30,21.65,21.650000,-340.000000,-413.594000,10046555766633851446,null,1,1,0
25,36,17.39,17.390000,-345.000000,-405.000000,1883015910805037784,null,1,1,0
26,43,22.73,22.730000,-330.000000,-405.000000,14170152216252384447,null,1,1,0
27,50,41.87,41.870000,-295.000000,-418.513000,17187210522519843084,null,1,1,0
28,57,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,6016458372442806935,null,1,1,0
29,64,17.39,17.390000,-345.000000,-405.000000,594050781094761893,null,1,1,0
30,71,34.95,34.950000,-310.000000,-418.333000,10433034260063060419,null,1,1,0
31,78,17.39,17.390000,-345.000000,-405.000000,8034558551468822711,null,1,1,0
