EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003853,Normal,94.88,94.880000,527.000000,27.000000,14921508010286178949,null,0,1,0
2,10,5.003204,Normal,94.88,94.880000,527.000000,27.000000,10101538263502436884,null,0,1,0
3,15,5.004003,Normal,94.88,94.880000,527.000000,27.000000,10346973009034893901,null,0,1,0
4,20,5.004084,Normal,94.88,94.880000,527.000000,27.000000,635589708496059671,null,0,1,0
5,25,5.003805,Normal,94.88,94.880000,527.000000,27.000000,5948685825087948624,null,0,1,0
6,30,5.003751,Normal,94.88,94.880000,527.000000,27.000000,6762843893550650360,null,0,1,0
7,35,5.004115,Normal,94.88,94.880000,527.000000,27.000000,13290681019215308220,null,0,1,0
8,40,5.007514,Normal,94.88,94.880000,527.000000,27.000000,844706301316953147,null,0,1,0
9,45,5.006209,Normal,94.88,94.880000,527.000000,27.000000,2225858521084382651,null,0,1,0
10,50,5.008031,Normal,94.88,94.880000,527.000000,27.000000,281880667954374288,null,0,1,0
11,55,5.007228,Normal,94.88,94.880000,527.000000,27.000000,16450644818478286277,null,0,1,0
12,60,5.007499,Normal,94.88,94.880000,527.000000,27.000000,13964071529318666704,null,0,1,0
13,65,5.006538,Normal,94.88,94.880000,527.000000,27.000000,16957666276679199244,null,0,1,0
14,70,5.003921,Normal,94.69,94.690000,527.000000,28.000000,5643427149002281568,null,0,1,0
15,75,5.003812,Normal,94.69,94.690000,527.000000,28.000000,435339654445841590,null,0,1,0
16,80,5.003650,Normal,94.69,94.690000,527.000000,28.000000,4993873235968207703,null,0,1,0
17,85,5.003572,Normal,94.69,94.690000,527.000000,28.000000,542087590554133360,null,0,1,0
18,90,5.003183,Normal,98.7,98.700000,2072.450000,27.000000,6302350429563461903,null,0,1,0
19,95,5.005555,Normal,94.88,94.880000,527.000000,27.000000,13650819850745377399,null,0,1,0
20,100,5.003526,Normal,94.69,94.690000,527.000000,28.000000,499806041435592363,null,0,1,0
21,105,5.002961,Normal,88.56,88.560000,236.000000,27.000000,13712272866700555907,null,0,1,1
22,110,5.004718,Normal,94.69,94.690000,527.000000,28.000000,11811313438669396076,null,0,2,0
23,115,5.003746,Normal,94.69,94.690000,527.000000,28.000000,499806041435592363,null,0,2,0
