EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.013997,Normal,5.63,5.630000,50.000000,47.186667,14921508010286178949,null,0,1,0
2,10,5.013565,Normal,5.63,5.630000,50.000000,47.186667,2823934824078185206,null,0,1,0
3,15,5.013632,Normal,5.63,5.630000,50.000000,47.186667,844706301316953147,null,0,1,0
4,20,5.013832,Normal,5.63,5.630000,50.000000,47.186667,13575339350133640537,null,0,1,0
5,25,5.008519,Normal,5.63,5.630000,50.000000,47.186667,10926055034921966546,null,0,1,0
6,30,5.010158,Normal,5.63,5.630000,50.000000,47.186667,13290681019215308220,null,0,1,0
7,35,5.012823,Normal,3.7,3.700000,49.000000,47.186667,16957666276679199244,null,0,1,0
8,40,5.014442,Normal,3.7,3.700000,49.000000,47.186667,9790877350325995247,null,0,1,0
9,45,5.011506,Normal,5.63,5.630000,50.000000,47.186667,5398713608842390699,null,0,1,0
10,50,5.014049,Normal,3.7,3.700000,49.000000,47.186667,3175669104720507236,null,0,1,0
11,55,5.013613,Normal,3.7,3.700000,49.000000,47.186667,5544650494140749795,null,0,1,0
12,60,5.013985,Normal,3.7,3.700000,49.000000,47.186667,6863555193231150367,null,0,1,0
13,65,5.016063,Normal,3.7,3.700000,49.000000,47.186667,4035910778140628704,null,0,1,0
14,70,5.013901,Normal,3.7,3.700000,49.000000,47.186667,13539448550712089660,null,0,1,0
15,75,5.015320,Normal,3.7,3.700000,49.000000,47.186667,11229182350521227177,null,0,1,0
16,80,5.014146,Normal,3.7,3.700000,49.000000,47.186667,4075051810448497291,null,0,1,0
17,85,5.059324,Normal,3.7,3.700000,49.000000,47.186667,12351453347240979420,null,0,1,0
18,90,5.011956,Normal,3.7,3.700000,49.000000,47.186667,14435525882683381056,null,0,1,0
19,95,5.013088,Normal,3.7,3.700000,49.000000,47.186667,1989493773585018539,null,0,1,0
20,100,5.011829,Normal,5.63,5.630000,50.000000,47.186667,2077675631147850639,null,0,1,0
21,5,5.010980,Normal,3.7,3.700000,49.000000,47.186700,4742023368992659407,null,1,1,0
22,10,5.011100,Normal,3.7,3.700000,49.000000,47.186700,6256578975208963304,null,1,1,0
23,15,5.010320,Normal,5.63,5.630000,50.000000,47.186700,4212311836723003975,null,1,1,0
24,20,5.009900,Normal,3.7,3.700000,49.000000,47.186700,2573251395108725737,null,1,1,0
25,25,5.008860,Normal,3.7,3.700000,49.000000,47.186700,1919750748207864055,null,1,1,0
26,30,5.010490,Normal,3.7,3.700000,49.000000,47.186700,4037327426761599479,null,1,1,0
27,35,5.010240,Normal,3.7,3.700000,49.000000,47.186700,13327723921508961553,null,1,1,0
28,40,5.008940,Normal,3.7,3.700000,49.000000,47.186700,6113536429892569241,null,1,1,0
29,45,5.011570,Normal,3.7,3.700000,49.000000,47.186700,3602984914613417735,null,1,1,0
30,50,5.010900,Normal,3.7,3.700000,49.000000,47.186700,7251929263841666902,null,1,1,0
31,55,5.009420,Normal,3.7,3.700000,49.000000,47.186700,15540708572644886351,null,1,1,0
32,60,5.007300,Normal,3.7,3.700000,49.000000,47.186700,8243562055866809749,null,1,1,0
33,65,5.014520,Normal,3.7,3.700000,49.000000,47.186700,9986838766824156861,null,1,1,0
34,70,5.007070,Normal,3.7,3.700000,49.000000,47.186700,4810662667599780335,null,1,1,0
35,75,5.009550,Normal,3.7,3.700000,49.000000,47.186700,912382870414384680,null,1,1,0
36,80,5.012990,Normal,3.7,3.700000,49.000000,47.186700,9769465519451998555,null,1,1,0
37,85,5.011020,Normal,3.7,3.700000,49.000000,47.186700,3324916423091917424,null,1,1,0
38,90,5.006560,Normal,3.7,3.700000,49.000000,47.186700,5302586831839351323,null,1,1,0
39,95,5.007390,Normal,3.7,3.700000,49.000000,47.186700,12250059330386081126,null,1,1,0
40,100,5.012160,Normal,3.7,3.700000,49.000000,47.186700,14035110142013243499,null,1,1,0
41,5,5.016530,Normal,5.63,5.630000,50.000000,47.186700,13833839775346593887,null,2,1,0
42,10,5.013150,Normal,3.7,3.700000,49.000000,47.186700,17419014958330931154,null,2,1,0
43,15,5.013020,Normal,3.7,3.700000,49.000000,47.186700,11061388906138207828,null,2,1,0
44,20,5.014170,Normal,3.7,3.700000,49.000000,47.186700,11231762849979703210,null,2,1,0
45,25,5.011110,Normal,5.63,5.630000,50.000000,47.186700,4021161396097349975,null,2,1,0
46,30,5.013920,Normal,5.63,5.630000,50.000000,47.186700,2110190193800242787,null,2,1,0
47,35,5.009540,Normal,5.63,5.630000,50.000000,47.186700,2952963931719238993,null,2,1,0
48,40,5.021240,Normal,3.7,3.700000,49.000000,47.186700,892473242910074610,null,2,1,0
49,45,5.012740,Normal,5.63,5.630000,50.000000,47.186700,4319810178887772173,null,2,1,0
50,50,5.007130,Normal,5.63,5.630000,50.000000,47.186700,16026061458554457200,null,2,1,0
51,55,5.009810,Normal,5.63,5.630000,50.000000,47.186700,8373413376205961007,null,2,1,0
52,60,5.012930,Normal,5.63,5.630000,50.000000,47.186700,2938321305877998074,null,2,1,0
53,65,5.009250,Normal,5.63,5.630000,50.000000,47.186700,17197593857723287682,null,2,1,0
