EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,5.36,5.360000,-147.031250,-154.908748,14921508010286178949,null,0,1,0
2,15,5.16,5.160000,-147.093750,-154.687924,8683817217222751575,null,0,1,0
3,23,5.16,5.160000,-147.093750,-154.687924,1109746989676116089,null,0,1,0
4,30,5.45,5.450000,-146.906250,-154.909232,18425285283540328501,null,0,1,0
5,38,5.16,5.160000,-147.093750,-154.687924,16080314484600567712,null,0,1,0
6,46,5.16,5.160000,-147.093750,-154.687924,2045221141382991416,null,0,1,0
7,53,5.16,5.160000,-147.093750,-154.687924,7961787602010660163,null,0,1,0
8,61,5.16,5.160000,-147.093750,-154.687924,10934190324494141854,null,0,1,0
9,69,5.16,5.160000,-147.093750,-154.687924,15967154807106001393,null,0,1,0
10,76,5.16,5.160000,-147.093750,-154.687924,12532714191337212529,null,0,1,0
11,84,5.45,5.450000,-146.906250,-154.909232,9762774080304111974,null,0,1,0
12,91,5.16,5.160000,-147.093750,-154.687924,12715936217890530867,null,0,1,0
13,98,3.89,3.890000,-149.375000,-155.179357,5948685825087948624,null,0,1,0
14,106,3.89,3.890000,-149.375000,-155.179357,7127532972619092953,null,0,1,0
15,113,3.8,3.800000,-149.375000,-155.055920,793450278422729020,null,0,1,0
16,121,3.8,3.800000,-149.375000,-155.055920,15724955644681209988,null,0,1,0
17,128,5.36,5.360000,-147.031250,-154.908748,5988662020493846908,null,0,1,0
18,135,5.48,5.480000,-147.000000,-155.055920,14125738650662444166,null,0,1,0
19,143,5.97,5.970000,-146.250000,-154.981043,4224704790384270877,null,0,1,0
20,150,5.61,5.610000,-146.906250,-155.152289,17884446829364314293,null,0,1,0
21,8,6.71,6.710000,-145.406000,-155.164000,6439873165248256756,null,1,1,0
22,15,5.64,5.640000,-146.906000,-155.191000,11255561039145532449,null,1,1,0
23,23,5.64,5.640000,-146.906000,-155.191000,13537950976286585776,null,1,1,0
24,31,5.5,5.500000,-147.094000,-155.191000,1543992123533599919,null,1,1,0
25,39,5.5,5.500000,-147.094000,-155.191000,1121735774884050560,null,1,1,0
26,46,5.5,5.500000,-147.094000,-155.191000,13315521273870313593,null,1,1,0
27,54,5.5,5.500000,-147.094000,-155.191000,8835056087927812126,null,1,1,0
28,62,5.5,5.500000,-147.094000,-155.191000,4721021197268836945,null,1,1,0
29,70,6.03,6.030000,-146.344000,-155.174000,3684839894587016456,null,1,1,0
30,77,5.5,5.500000,-147.094000,-155.191000,9760995042661225159,null,1,1,0
31,85,5.5,5.500000,-147.094000,-155.191000,16552991783942728774,null,1,1,0
32,92,3.8,3.800000,-149.375000,-155.056000,8615068098917152808,null,1,1,0
33,99,5.97,5.970000,-146.250000,-154.981000,4411838710322572373,null,1,1,0
34,107,3.89,3.890000,-149.375000,-155.179000,11397920592115069351,null,1,1,0
35,114,3.8,3.800000,-149.375000,-155.056000,6870680328724645311,null,1,1,0
36,122,5.61,5.610000,-146.906000,-155.152000,12368926756971372670,null,1,1,0
37,129,5.56,5.560000,-147.000000,-155.179000,11151808385675914215,null,1,1,0
38,136,3.8,3.800000,-149.375000,-155.056000,7181718837158672064,null,1,1,0
39,144,3.8,3.800000,-149.375000,-155.056000,8341864578734394660,null,1,1,0
40,151,7.39,7.390000,-144.656000,-155.344000,3238256017439148772,null,1,1,0
41,7,6.03,6.030000,-146.344000,-155.174000,11502841505915629043,null,2,1,0
42,15,5.61,5.610000,-146.938000,-155.174000,9540605019386224781,null,2,1,0
43,23,60.16,60.160000,-97.437500,-156.056000,1755950821204626872,null,2,1,0
44,30,5.61,5.610000,-146.938000,-155.174000,4284477232402470618,null,2,1,0
45,38,3.74,3.740000,-149.375000,-154.963000,5137699894086047865,null,2,1,0
46,46,3.74,3.740000,-149.375000,-154.963000,2591372118712252720,null,2,1,0
47,53,3.74,3.740000,-149.375000,-154.963000,13370410313413947659,null,2,1,0
48,61,3.88,3.880000,-149.375000,-155.174000,1784326625973140367,null,2,1,0
49,69,3.74,3.740000,-149.375000,-154.963000,14840437110953648647,null,2,1,0
50,77,8.36,8.360000,-143.906000,-155.938000,2002879866937244459,null,2,1,0
51,84,3.74,3.740000,-149.375000,-154.963000,506689512661984095,null,2,1,0
52,91,6.88,6.880000,-145.906000,-155.938000,11380041220292187857,null,2,1,0
53,98,3.74,3.740000,-149.375000,-154.963000,4803759645056701366,null,2,1,0
54,106,60.16,60.160000,-97.437500,-156.056000,4851553185458576716,null,2,1,0
55,113,5.32,5.320000,-147.250000,-155.090000,13300721076346891221,null,2,1,0
56,120,5.42,5.420000,-147.000000,-154.966000,8395489732574928778,null,2,1,0
57,128,3.74,3.740000,-149.375000,-154.963000,6264897343196009869,null,2,1,0
58,135,3.74,3.740000,-149.375000,-154.963000,12928008435496069583,null,2,1,0
59,142,4.85,4.850000,-147.938000,-155.110000,4057095448895057754,null,2,1,0
60,149,3.74,3.740000,-149.375000,-154.963000,15469393022837870647,null,2,1,0
61,7,5.64,5.640000,-146.906000,-155.185000,12710294232408245987,null,3,1,0
62,14,5.64,5.640000,-147.000000,-155.292000,14141972750826331920,null,3,1,0
63,21,5.64,5.640000,-146.906000,-155.185000,15280887202162191513,null,3,1,0
64,28,5.1,5.100000,-147.188000,-154.697000,11044171371282847915,null,3,1,0
65,35,3.41,3.410000,-149.375000,-154.467000,9492125232921463513,null,3,1,0
66,42,3.41,3.410000,-149.375000,-154.467000,5595412460234778716,null,3,1,0
67,50,3.41,3.410000,-149.375000,-154.467000,5265820844538819046,null,3,1,0
68,57,3.41,3.410000,-149.375000,-154.467000,14724671489427302927,null,3,1,0
69,64,3.41,3.410000,-149.375000,-154.467000,4035941580516462550,null,3,1,0
70,71,3.31,3.310000,-149.375000,-154.320000,13943265468721133973,null,3,1,0
71,79,8.36,8.360000,-143.906000,-155.938000,9386720224356642223,null,3,1,0
72,86,3.49,3.490000,-149.375000,-154.591000,5304336728550019092,null,3,1,0
73,93,6.08,6.080000,-145.938000,-154.812000,6924642507511187423,null,3,1,0
74,101,3.31,3.310000,-149.375000,-154.320000,11284468876333989657,null,3,1,0
75,108,3.41,3.410000,-149.375000,-154.465000,7955080742848957329,null,3,1,0
76,115,3.31,3.310000,-149.375000,-154.320000,3077277286997952113,null,3,1,0
77,122,5.16,5.160000,-147.094000,-154.680000,9033268937187339675,null,3,1,0
78,129,3.31,3.310000,-149.375000,-154.320000,8130669507212482538,null,3,1,0
79,137,3.49,3.490000,-149.375000,-154.591000,4007735215185993960,null,3,1,0
80,144,3.31,3.310000,-149.375000,-154.320000,6581411871103583203,null,3,1,0
81,159,3.53,3.530000,-149.375000,-154.642375,5473407194624088777,null,0,1,1
82,166,6.87,6.870000,-145.906250,-155.929968,7392043598222185847,null,0,1,1
83,174,6.87,6.870000,-145.906250,-155.929968,9319667555329408134,null,0,1,1
