EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003271,Normal,1.71,1.710000,175.000000,172.000000,14921508010286178949,null,0,1,0
2,10,5.004108,Normal,6.04,6.040000,182.000000,171.000000,5643427149002281568,null,0,1,0
3,15,5.002356,Normal,3.93,3.930000,178.000000,171.000000,2823934824078185206,null,0,1,0
4,20,5.002210,Normal,2.29,2.290000,175.000000,171.000000,12911295086759950527,null,0,1,0
5,25,5.002539,Normal,1.15,1.150000,174.000000,172.000000,15495703117619861868,null,0,1,0
6,30,5.002414,Normal,1.15,1.150000,174.000000,172.000000,3499817129807317381,null,0,1,0
7,35,5.002371,Normal,1.15,1.150000,174.000000,172.000000,14397457545603762146,null,0,1,0
8,40,5.002829,Normal,2.84,2.840000,176.000000,171.000000,8231821064026944110,null,0,1,0
9,45,5.002914,Normal,2.82,2.820000,177.000000,172.000000,12738985169681797412,null,0,1,0
10,50,5.002413,Normal,4.47,4.470000,179.000000,171.000000,8609448594415774881,null,0,1,0
11,55,5.002601,Normal,1.15,1.150000,174.000000,172.000000,10708952311738083886,null,0,1,0
12,60,5.002592,Normal,1.15,1.150000,174.000000,172.000000,12977040690974186434,null,0,1,0
13,65,5.002609,Normal,1.15,1.150000,174.000000,172.000000,9080173133444326349,null,0,1,0
14,70,5.002908,Normal,3.89,3.890000,178.000000,171.074941,3773182470468751137,null,0,1,0
15,75,5.003164,Normal,6.04,6.040000,182.000000,171.000000,12477530550632405707,null,0,1,0
16,80,5.002746,Normal,1.71,1.710000,175.000000,172.000000,5834950261831871145,null,0,1,0
17,85,5.002469,Normal,1.15,1.150000,174.000000,172.000000,10328288816522410356,null,0,1,0
18,90,5.007235,Normal,3.88,3.880000,178.000000,171.092364,10932394299006356428,null,0,1,0
19,95,5.002512,Normal,1.15,1.150000,174.000000,172.000000,7731515200120874478,null,0,1,0
20,100,5.002627,Normal,1.15,1.150000,174.000000,172.000000,2361001764338406929,null,0,1,0
21,5,5.003320,Normal,3.39,3.390000,177.000000,171.000000,17514050945686148453,null,1,1,0
22,10,5.003390,Normal,5,5.000000,180.000000,171.000000,14945327202240187335,null,1,1,0
23,15,5.002800,Normal,3.93,3.930000,178.000000,171.000000,5618135918108975868,null,1,1,0
24,20,5.002900,Normal,3.93,3.930000,178.000000,171.000000,14451080528597731927,null,1,1,0
25,25,5.003160,Normal,2.29,2.290000,175.000000,171.000000,14848801465634500120,null,1,1,0
26,30,5.003860,Normal,4.25,4.250000,179.000000,171.387000,12933841769560217381,null,1,1,0
27,35,5.003360,Normal,2.84,2.840000,176.000000,171.000000,1176497046228272539,null,1,1,0
28,40,5.002690,Normal,2.29,2.290000,175.000000,171.000000,255173070450454887,null,1,1,0
29,45,5.004810,Normal,2.29,2.290000,175.000000,171.000000,8182759712650686320,null,1,1,0
30,50,5.002680,Normal,3.39,3.390000,177.000000,171.000000,17286658598774346157,null,1,1,0
31,55,5.004050,Normal,2.84,2.840000,176.000000,171.000000,559755154244749468,null,1,1,0
32,60,5.003610,Normal,8.56,8.560000,187.000000,171.000000,1828799032534235089,null,1,1,0
33,65,5.003160,Normal,3.82,3.820000,178.000000,171.200000,7236399842415286001,null,1,1,0
34,70,5.005170,Normal,3.39,3.390000,177.000000,171.000000,17751234315168170223,null,1,1,0
35,75,5.002640,Normal,2.29,2.290000,175.000000,171.000000,16398673010824181621,null,1,1,0
36,80,5.002600,Normal,2.29,2.290000,175.000000,171.000000,4711023537577696100,null,1,1,0
37,85,5.002620,Normal,2.29,2.290000,175.000000,171.000000,681918977289968575,null,1,1,0
38,90,5.003610,Normal,2.29,2.290000,175.000000,171.000000,13141349477360332413,null,1,1,0
39,95,5.002730,Normal,1.16,1.160000,173.000000,171.000000,6997501816869375246,null,1,1,0
40,100,5.002650,Normal,3.93,3.930000,178.000000,171.000000,17783073693085110016,null,1,1,0
41,5,5.003450,Normal,5,5.000000,180.000000,171.000000,2804053118686667685,null,2,1,0
42,10,5.003020,Normal,3.93,3.930000,178.000000,171.000000,15558195506789843468,null,2,1,0
43,15,5.003220,Normal,2.29,2.290000,175.000000,171.000000,5528794372752364553,null,2,1,0
44,20,5.003220,Normal,3.39,3.390000,177.000000,171.000000,16088453090311711417,null,2,1,0
45,25,5.002940,Normal,2.29,2.290000,175.000000,171.000000,12504688451658718899,null,2,1,0
46,30,5.002430,Normal,3.39,3.390000,177.000000,171.000000,13376679049763403712,null,2,1,0
47,35,5.003320,Normal,5,5.000000,180.000000,171.000000,8935219102387644750,null,2,1,0
48,40,5.002890,Normal,3.39,3.390000,177.000000,171.000000,2767680580426377243,null,2,1,0
49,45,5.002790,Normal,2.29,2.290000,175.000000,171.000000,7691308208562205150,null,2,1,0
50,50,5.002490,Normal,3.93,3.930000,178.000000,171.000000,8621626932493800262,null,2,1,0
51,55,5.002780,Normal,3.93,3.930000,178.000000,171.000000,11262948123474576969,null,2,1,0
52,60,5.006490,Normal,1.72,1.720000,174.000000,171.000000,17994303870253837979,null,2,1,0
53,65,5.002490,Normal,3.93,3.930000,178.000000,171.000000,16965774691134000699,null,2,1,0
54,70,5.002870,Normal,2.84,2.840000,176.000000,171.000000,18290544536924550913,null,2,1,0
55,75,5.002280,Normal,4.47,4.470000,179.000000,171.000000,4098361534104744499,null,2,1,0
56,80,5.003120,Normal,1.72,1.720000,174.000000,171.000000,12324199562159483075,null,2,1,0
57,85,5.002790,Normal,3.39,3.390000,177.000000,171.000000,17647215915201410694,null,2,1,0
58,90,5.002710,Normal,2.29,2.290000,175.000000,171.000000,9440697733042942618,null,2,1,0
59,95,5.003080,Normal,1.16,1.160000,173.000000,171.000000,4107702564450865805,null,2,1,0
60,100,5.002810,Normal,3.93,3.930000,178.000000,171.000000,8790344089480838702,null,2,1,0
61,5,5.003280,Normal,4.47,4.470000,179.000000,171.000000,145401686263944303,null,3,1,0
62,10,5.002800,Normal,4.47,4.470000,179.000000,171.000000,8799749763501343571,null,3,1,0
63,15,5.002900,Normal,4.47,4.470000,179.000000,171.000000,15708186979800204989,null,3,1,0
64,20,5.002740,Normal,4.47,4.470000,179.000000,171.000000,14547541339312857813,null,3,1,0
65,25,5.002620,Normal,1.72,1.720000,174.000000,171.000000,17257326725602205061,null,3,1,0
66,30,5.002910,Normal,1.72,1.720000,174.000000,171.000000,12626641600961180368,null,3,1,0
67,35,5.002560,Normal,1.72,1.720000,174.000000,171.000000,9068908156935302787,null,3,1,0
68,40,5.002610,Normal,1.72,1.720000,174.000000,171.000000,5925123280968784892,null,3,1,0
69,45,5.002580,Normal,1.72,1.720000,174.000000,171.000000,5654066692124122128,null,3,1,0
70,50,5.006130,Normal,2.84,2.840000,176.000000,171.000000,14890446651804646197,null,3,1,0
71,55,5.002580,Normal,1.72,1.720000,174.000000,171.000000,10134538418957805556,null,3,1,0
72,60,5.008670,Normal,1.72,1.720000,174.000000,171.000000,2050245741559219700,null,3,1,0
73,65,5.002530,Normal,1.72,1.720000,174.000000,171.000000,10965997694391593349,null,3,1,0
74,70,5.002530,Normal,1.72,1.720000,174.000000,171.000000,12849996506223177695,null,3,1,0
75,75,5.002520,Normal,1.72,1.720000,174.000000,171.000000,12357975900976354875,null,3,1,0
76,80,5.002960,Normal,1.72,1.720000,174.000000,171.000000,7159319737346492637,null,3,1,0
77,85,5.002750,Normal,4.47,4.470000,179.000000,171.000000,14172811315663294555,null,3,1,0
78,90,5.002960,Normal,1.72,1.720000,174.000000,171.000000,11537633018331778075,null,3,1,0
79,95,5.002500,Normal,1.72,1.720000,174.000000,171.000000,18071115876777075272,null,3,1,0
80,100,5.002740,Normal,1.72,1.720000,174.000000,171.000000,11197980349499848070,null,3,1,0
81,5,5.003320,Normal,2.84,2.840000,176.000000,171.000000,6863155508343490133,null,4,1,0
82,10,5.002210,Normal,2.84,2.840000,176.000000,171.000000,6164721125244991746,null,4,1,0
83,15,5.002550,Normal,1.72,1.720000,174.000000,171.000000,12571469938378577234,null,4,1,0
84,20,5.003620,Normal,2.27,2.270000,176.000000,172.000000,15560217651206113047,null,4,1,0
85,25,5.002560,Normal,1.72,1.720000,174.000000,171.000000,5981096053351862101,null,4,1,0
86,30,5.002850,Normal,1.72,1.720000,174.000000,171.000000,6339058726337126105,null,4,1,0
87,35,5.002600,Normal,2.84,2.840000,176.000000,171.000000,9464057345749289711,null,4,1,0
88,40,5.002700,Normal,1.72,1.720000,174.000000,171.000000,7846552774181279095,null,4,1,0
89,45,5.003800,Normal,1.71,1.710000,175.000000,172.000000,10195922005200955025,null,4,1,0
90,50,5.002490,Normal,3.39,3.390000,177.000000,171.000000,17513130583721849687,null,4,1,0
91,55,5.002770,Normal,1.72,1.720000,174.000000,171.000000,16500408866223290940,null,4,1,0
92,60,5.004880,Normal,2.84,2.840000,176.000000,171.000000,18012107980530627769,null,4,1,0
93,65,5.002930,Normal,3.39,3.390000,177.000000,171.000000,9086950691947115487,null,4,1,0
94,70,5.003660,Normal,1.71,1.710000,175.000000,172.000000,9558236143356283447,null,4,1,0
95,75,5.004100,Normal,2.66,2.660000,176.000000,171.311000,15059026507493300669,null,4,1,0
96,80,5.002590,Normal,2.27,2.270000,176.000000,172.000000,9617305861330052539,null,4,1,0
97,85,5.003530,Normal,1.34,1.340000,174.000000,171.662000,14437085772317181691,null,4,1,0
98,90,5.005330,Normal,2.84,2.840000,176.000000,171.000000,2082106359574450359,null,4,1,0
99,95,5.003490,Normal,1.34,1.340000,174.000000,171.662000,3305016473638253761,null,4,1,0
100,100,5.005410,Normal,3.39,3.390000,177.000000,171.000000,16767645070765855175,null,4,1,0
101,5,5.003470,Normal,8.56,8.560000,187.000000,171.000000,12392674989143262452,null,5,1,0
102,10,5.002860,Normal,8.56,8.560000,187.000000,171.000000,15034258563481376718,null,5,1,0
103,15,5.003030,Normal,8.56,8.560000,187.000000,171.000000,123750392386095322,null,5,1,0
104,20,5.002420,Normal,4.47,4.470000,179.000000,171.000000,13991722407543623941,null,5,1,0
105,25,5.002560,Normal,1.15,1.150000,174.000000,172.000000,6949636244700471329,null,5,1,0
106,30,5.003130,Normal,8.56,8.560000,187.000000,171.000000,2433639396895312443,null,5,1,0
107,35,5.002590,Normal,1.15,1.150000,174.000000,172.000000,15240640014018383016,null,5,1,0
108,40,5.002610,Normal,1.15,1.150000,174.000000,172.000000,9984645794871258695,null,5,1,0
109,45,5.002900,Normal,2.84,2.840000,176.000000,171.000000,18279908702460771864,null,5,1,0
110,50,5.003430,Normal,5,5.000000,180.000000,171.000000,12627433004012911375,null,5,1,0
111,55,5.002720,Normal,2.84,2.840000,176.000000,171.000000,13390943667290899019,null,5,1,0
112,60,5.002930,Normal,4.79,4.790000,180.000000,171.374000,7910658979239620253,null,5,1,0
113,65,5.002650,Normal,1.15,1.150000,174.000000,172.000000,6068183177972059944,null,5,1,0
114,70,5.003090,Normal,3.89,3.890000,178.000000,171.075000,8702895792563637341,null,5,1,0
115,75,5.002560,Normal,4.79,4.790000,180.000000,171.374000,16499890416798441263,null,5,1,0
116,80,5.002480,Normal,1.15,1.150000,174.000000,172.000000,14723798583775307968,null,5,1,0
117,85,5.002550,Normal,1.15,1.150000,174.000000,172.000000,8070461616727199139,null,5,1,0
118,90,5.002750,Normal,1.15,1.150000,174.000000,172.000000,18141480944384415673,null,5,1,0
119,95,5.002690,Normal,1.72,1.720000,174.000000,171.000000,13432306796278610810,null,5,1,0
120,100,5.002530,Normal,4.97,4.970000,181.000000,172.000000,8714568468535834948,null,5,1,0
121,5,5.003080,Normal,2.84,2.840000,176.000000,171.000000,1562778068060664005,null,6,1,0
122,10,5.002700,Normal,2.84,2.840000,176.000000,171.000000,6953195067738295,null,6,1,0
123,15,5.003450,Normal,2.84,2.840000,176.000000,171.000000,9946361533431250095,null,6,1,0
124,20,5.002640,Normal,3.93,3.930000,178.000000,171.000000,1355739224222705675,null,6,1,0
125,25,5.002800,Normal,2.82,2.820000,177.000000,172.000000,16080778517214194974,null,6,1,0
126,30,5.002930,Normal,3.93,3.930000,178.000000,171.000000,8068380372986435290,null,6,1,0
127,35,5.003220,Normal,4.47,4.470000,179.000000,171.000000,7879941800309112452,null,6,1,0
128,40,5.005170,Normal,3.39,3.390000,177.000000,171.000000,11849691294421951094,null,6,1,0
129,45,5.003540,Normal,1.71,1.710000,175.000000,172.000000,3207529643306309669,null,6,1,0
130,50,5.003500,Normal,2.84,2.840000,176.000000,171.000000,176624978157522192,null,6,1,0
131,55,5.003480,Normal,3.39,3.390000,177.000000,171.000000,1321143005963331808,null,6,1,0
