EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,28.04,28.040000,28486.750000,20498.742004,14921508010286178949,null,0,1,0
2,11,24.65,24.650000,27202.930000,20498.506624,2823934824078185206,null,0,1,0
3,20,39.13,39.130000,25427.670000,15478.019033,8211792182747950806,null,0,1,0
4,26,20.48,20.480000,25737.330000,20466.735784,7996245778148271637,null,0,1,0
5,32,20.48,20.480000,25737.330000,20466.735784,5699199265869265056,null,0,1,0
6,37,20.34,20.340000,25717.180000,20486.202703,2084296190237843043,null,0,1,0
7,43,20.34,20.340000,25717.180000,20486.202703,17510964314618683470,null,0,1,0
8,49,19.48,19.480000,25659.060000,20661.282799,2441688160292591395,null,0,1,0
9,55,19.54,19.540000,25659.060000,20645.343057,17618853623699545067,null,0,1,0
10,61,19.48,19.480000,25659.060000,20661.282799,472822737697570641,null,0,1,0
11,67,19.38,19.380000,25659.060000,20686.240429,850703188345921516,null,0,1,0
12,72,24.71,24.710000,26672.520000,20081.701765,3228514935083391463,null,0,1,0
13,78,19.4,19.400000,25659.060000,20682.033889,7850630806288651477,null,0,1,0
14,84,24.65,24.650000,27202.930000,20498.506624,10208037283680861981,null,0,1,0
15,93,38.18,38.180000,25427.670000,15718.996130,887869116644101242,null,0,1,0
16,99,19.54,19.540000,25659.060000,20645.343057,16420944668600981217,null,0,1,0
17,105,24.91,24.910000,27177.890000,20408.013172,16052209553735157188,null,0,1,0
18,111,19.38,19.380000,25659.060000,20686.240429,18350491515641137362,null,0,1,0
19,117,17.77,17.770000,25336.240000,20834.271461,9945600772951182287,null,0,1,0
20,123,22.07,22.070000,26300.930000,20495.983734,14228731663658698073,null,0,1,0
21,6,34.07,34.070000,26757.300000,17641.400000,4742023368992659407,null,1,1,0
22,12,30.69,30.690000,25278.700000,17521.400000,6256578975208963304,null,1,1,0
23,17,30.69,30.690000,25278.700000,17521.400000,12336834199684603571,null,1,1,0
24,23,30.69,30.690000,25278.700000,17521.400000,17426624414624633759,null,1,1,0
25,32,44.22,44.220000,25347.100000,14137.700000,9521923097997584123,null,1,1,0
26,38,39.74,39.740000,27476.400000,16556.100000,9152426245010523181,null,1,1,0
27,44,37.28,37.280000,25653.100000,16088.500000,14887820698398008522,null,1,1,0
28,50,29.7,29.700000,25167.800000,17692.200000,10819472677658251333,null,1,1,0
29,56,32.1,32.100000,26519.000000,18006.100000,10634225081498913747,null,1,1,0
30,63,29.7,29.700000,25167.800000,17692.200000,17077341345358279723,null,1,1,0
31,69,30.03,30.030000,25098.900000,17561.500000,9176724969667362132,null,1,1,0
32,75,34.85,34.850000,25537.700000,16637.900000,14683483431703147984,null,1,1,0
33,81,32.1,32.100000,25581.100000,17369.300000,1780221278401495522,null,1,1,0
34,87,30.69,30.690000,25278.700000,17521.400000,9497718841019128278,null,1,1,0
35,93,38.1,38.100000,27165.000000,16815.100000,5563926245740435391,null,1,1,0
36,99,29.61,29.610000,24586.000000,17307.200000,8034558551468822711,null,1,1,0
37,105,32.18,32.180000,25485.400000,17284.000000,14324114612836221540,null,1,1,0
38,111,30.96,30.960000,24563.800000,16957.700000,8512209741810530555,null,1,1,0
39,117,29.61,29.610000,24586.000000,17307.200000,18258507412192594140,null,1,1,0
40,123,53.72,53.720000,25039.600000,11588.400000,17752407870678009455,null,1,1,0
41,6,22.18,22.180000,26027.800000,20255.500000,13833839775346593887,null,2,1,0
42,12,21.97,21.970000,26027.800000,20310.600000,17419014958330931154,null,2,1,0
43,17,21.97,21.970000,26027.800000,20310.600000,11061388906138207828,null,2,1,0
44,23,22.25,22.250000,26027.800000,20237.200000,11231762849979703210,null,2,1,0
45,29,26.48,26.480000,27787.200000,20430.500000,4021161396097349975,null,2,1,0
46,35,20.87,20.870000,25687.600000,20325.500000,2110190193800242787,null,2,1,0
47,41,35.79,35.790000,26262.500000,16864.100000,8361584709844685769,null,2,1,0
48,47,20.87,20.870000,25687.600000,20325.500000,12926262096109238513,null,2,1,0
49,52,20.87,20.870000,25687.600000,20325.500000,12301824846396672181,null,2,1,0
50,58,24.25,24.250000,26916.600000,20389.200000,13963577586784335407,null,2,1,0
51,64,20.68,20.680000,25576.800000,20286.900000,9633973317095669974,null,2,1,0
52,70,18.28,18.280000,24913.200000,20358.600000,16532259290506801340,null,2,1,0
53,76,20.68,20.680000,25576.800000,20286.900000,6357833160454605427,null,2,1,0
54,82,18.28,18.280000,24913.200000,20358.600000,14360153169732367030,null,2,1,0
55,88,22.8,22.800000,26534.500000,20484.400000,9417783968367135505,null,2,1,0
56,94,18.28,18.280000,24913.200000,20358.600000,13091521577448504267,null,2,1,0
57,100,24.28,24.280000,27096.900000,20517.200000,10467063796046227007,null,2,1,0
58,105,22.6,22.600000,26322.700000,20374.200000,10123779712779742217,null,2,1,0
59,112,22.8,22.800000,26534.500000,20484.400000,237138946738741402,null,2,1,0
60,118,23.04,23.040000,26330.400000,20264.800000,10802738096595107264,null,2,1,0
61,8,37.2,37.200000,25427.700000,15969.100000,7691846394389702564,null,3,1,0
62,17,37.37,37.370000,25427.700000,15924.300000,2013473791230577213,null,3,1,0
63,26,37.2,37.200000,25427.700000,15969.100000,11266682804268049439,null,3,1,0
64,32,29.5,29.500000,29073.800000,20496.300000,2748598918444556601,null,3,1,0
