EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,14.96,14.960000,1768.264086,1503.816869,14921508010286178949,null,0,1,0
2,21,15.48,15.480000,1776.756508,1501.755814,8683817217222751575,null,0,1,0
3,31,14.96,14.960000,1768.264086,1503.816869,9658482938002475941,null,0,1,0
4,42,14.96,14.960000,1768.264086,1503.816869,6762843893550650360,null,0,1,0
5,53,14.96,14.960000,1768.264086,1503.816869,14770251354950928531,null,0,1,0
6,65,16,16.000000,1797.987564,1510.269223,844706301316953147,null,0,1,0
7,76,17.04,17.040000,1810.683002,1502.097523,2823934824078185206,null,0,1,0
8,87,14.96,14.960000,1768.264086,1503.816869,5834950261831871145,null,0,1,0
9,98,16.42,16.420000,1789.495142,1495.633694,10346973009034893901,null,0,1,0
10,108,18.83,18.830000,1840.449677,1493.826108,3895283216737288575,null,0,1,0
11,119,15.12,15.120000,1768.264086,1500.957821,17254147022443499681,null,0,1,0
12,130,16.29,16.290000,1781.002719,1490.802026,15495703117619861868,null,0,1,0
13,140,14.98,14.980000,1768.264086,1503.445808,10926055034921966546,null,0,1,0
14,151,16.2,16.200000,1810.683002,1517.292667,13964071529318666704,null,0,1,0
15,161,14.77,14.770000,1797.987563,1532.350290,5643427149002281568,null,0,1,0
16,172,14.77,14.770000,1797.987563,1532.350290,11811313438669396076,null,0,1,0
17,183,14.77,14.770000,1797.987563,1532.350290,11074486824691416405,null,0,1,0
18,194,16.52,16.520000,1802.233776,1504.568618,5276140004852783394,null,0,1,0
19,206,12.87,12.870000,1755.525451,1529.666411,6302350429563461903,null,0,1,0
20,218,15.13,15.130000,1768.264085,1500.792464,18073175359058532266,null,0,1,0
21,11,20,20.000000,1755.530000,1404.440000,6439873165248256756,null,1,1,0
22,23,21.81,21.810000,1772.510000,1385.880000,11255561039145532449,null,1,1,0
23,34,20.48,20.480000,1772.510000,1409.500000,16491404846762771235,null,1,1,0
24,45,18.94,18.940000,1747.030000,1416.070000,14641529875676470423,null,1,1,0
25,57,20,20.000000,1755.530000,1404.440000,6180013470909553343,null,1,1,0
26,68,19.14,19.140000,1751.280000,1416.070000,18181308809607689415,null,1,1,0
27,80,19.72,19.720000,1764.020000,1416.070000,167073399308404491,null,1,1,0
28,93,21.31,21.310000,1781.000000,1401.470000,2124134745575245083,null,1,1,0
29,107,21.46,21.460000,1759.770000,1382.150000,9313430829460010827,null,1,1,0
30,118,21.24,21.240000,1781.000000,1402.770000,125172155304207817,null,1,1,0
31,130,18.94,18.940000,1747.030000,1416.070000,12656121889854824675,null,1,1,0
32,142,18.94,18.940000,1747.030000,1416.070000,3280717147135838391,null,1,1,0
33,153,19.14,19.140000,1751.280000,1416.070000,2864586114546764341,null,1,1,0
34,164,19.09,19.090000,1759.770000,1423.820000,11129361801638293486,null,1,1,0
35,176,20.26,20.260000,1747.030000,1393.030000,8160153955914085830,null,1,1,0
36,188,18.94,18.940000,1747.030000,1416.070000,6547042966694054476,null,1,1,0
37,200,18.94,18.940000,1747.030000,1416.070000,13604390789729673973,null,1,1,0
38,212,18.94,18.940000,1747.030000,1416.070000,15783822686056472735,null,1,1,0
39,222,20,20.000000,1755.530000,1404.440000,12103571466405527620,null,1,1,0
40,228,19.14,19.140000,1751.280000,1416.070000,12490901944765170104,null,1,1,0
41,239,13.31,13.310000,1772.510296,1536.606975,11936567184673648410,null,0,1,1
42,251,12.87,12.870000,1755.525451,1529.666411,13675470205636532242,null,0,1,1
43,263,12.87,12.870000,1755.525451,1529.666411,716355160512512167,null,0,1,1
44,275,12.87,12.870000,1755.525451,1529.666411,7765041053173343634,null,0,1,1
45,286,11.57,11.570000,1747.033029,1544.946267,10243316873315797759,null,0,1,1
46,240,12.87,12.870000,1755.525451,1529.666411,11320680380958025132,null,1,1,1
47,252,12.87,12.870000,1755.525451,1529.666411,5807413871712656030,null,1,1,1
48,263,12.87,12.870000,1755.525451,1529.666411,4317818144363512397,null,1,1,1
49,275,12.87,12.870000,1755.525451,1529.666411,3859860671082495246,null,1,1,1
50,287,15.68,15.680000,1776.756508,1498.178098,9750761951707982296,null,1,1,1
51,298,13.37,13.370000,1785.248930,1546.575150,215433658543283463,null,0,2,0
52,309,11.57,11.570000,1747.033029,1544.946267,15280847955403877885,null,0,2,0
53,320,14.15,14.150000,1772.510296,1521.652615,2778707576099391742,null,0,2,0
54,331,11.57,11.570000,1747.033029,1544.946267,1900969033089895775,null,0,2,0
55,342,16.41,16.410000,1776.756508,1485.103320,10959482314263220902,null,0,2,0
56,353,16.02,16.020000,1814.972409,1524.205279,4646826405235207299,null,0,2,0
57,298,19.75,19.750000,1747.030000,1401.980000,8387055837380385663,null,1,2,0
