EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004050,Normal,1.71,1.710000,175.000000,172.000000,14921508010286178949,null,0,1,0
2,10,5.004394,Normal,6.04,6.040000,182.000000,171.000000,5643427149002281568,null,0,1,0
3,15,5.003729,Normal,4.47,4.470000,179.000000,171.000000,2823934824078185206,null,0,1,0
4,20,5.002415,Normal,3.39,3.390000,177.000000,171.000000,12911295086759950527,null,0,1,0
5,25,5.002708,Normal,1.15,1.150000,174.000000,172.000000,15495703117619861868,null,0,1,0
6,30,5.002394,Normal,1.15,1.150000,174.000000,172.000000,3499817129807317381,null,0,1,0
7,35,5.002566,Normal,1.15,1.150000,174.000000,172.000000,14397457545603762146,null,0,1,0
8,40,5.002936,Normal,2.84,2.840000,176.000000,171.000000,8231821064026944110,null,0,1,0
9,45,5.004145,Normal,2.82,2.820000,177.000000,172.000000,12738985169681797412,null,0,1,0
10,50,5.002989,Normal,5,5.000000,180.000000,171.000000,8609448594415774881,null,0,1,0
11,55,5.003395,Normal,1.15,1.150000,174.000000,172.000000,10708952311738083886,null,0,1,0
12,60,5.003340,Normal,1.15,1.150000,174.000000,172.000000,12977040690974186434,null,0,1,0
13,65,5.002832,Normal,1.15,1.150000,174.000000,172.000000,9080173133444326349,null,0,1,0
14,70,5.003533,Normal,3.93,3.930000,178.000000,171.000000,3773182470468751137,null,0,1,0
15,75,5.003361,Normal,6.04,6.040000,182.000000,171.000000,12477530550632405707,null,0,1,0
16,80,5.003340,Normal,1.71,1.710000,175.000000,172.000000,5834950261831871145,null,0,1,0
17,85,5.002954,Normal,1.15,1.150000,174.000000,172.000000,10328288816522410356,null,0,1,0
18,90,5.003243,Normal,3.88,3.880000,178.000000,171.092364,10932394299006356428,null,0,1,0
19,95,5.003108,Normal,1.15,1.150000,174.000000,172.000000,7731515200120874478,null,0,1,0
20,100,5.003160,Normal,1.15,1.150000,174.000000,172.000000,2361001764338406929,null,0,1,0
21,5,5.003930,Normal,3.39,3.390000,177.000000,171.000000,17514050945686148453,null,1,1,0
22,10,5.004900,Normal,5,5.000000,180.000000,171.000000,14945327202240187335,null,1,1,0
23,15,5.003050,Normal,1.72,1.720000,174.000000,171.000000,5618135918108975868,null,1,1,0
24,20,5.003520,Normal,5,5.000000,180.000000,171.000000,18187865233440282756,null,1,1,0
25,25,5.003060,Normal,3.93,3.930000,178.000000,171.000000,9175746710825355463,null,1,1,0
26,30,5.003160,Normal,1.72,1.720000,174.000000,171.000000,15732941145611108253,null,1,1,0
27,35,5.002880,Normal,6.04,6.040000,182.000000,171.000000,12416084746315198944,null,1,1,0
28,40,5.003010,Normal,6.04,6.040000,182.000000,171.000000,6293421248116323512,null,1,1,0
29,45,5.002830,Normal,1.72,1.720000,174.000000,171.000000,9332567457663734979,null,1,1,0
30,50,5.003130,Normal,8.56,8.560000,187.000000,171.000000,18371248802713708771,null,1,1,0
31,55,5.003200,Normal,1.72,1.720000,174.000000,171.000000,372741329198567971,null,1,1,0
